0	4	q	says the annies list political group supports third-trimester abortions on demand.
1	2	q	when did the decline of coal start? it started when natural gas took off that started to begin in (president george w.) bushs administration.
2	1	q	"hillary clinton agrees with john mccain ""by voting to give george bush the benefit of the doubt on iran."""
3	4	q	health care reform legislation is likely to mandate free sex change surgeries.
4	2	q	the economic turnaround started at the end of my term.
5	0	q	the chicago bears have had more starting quarterbacks in the last 10 years than the total number of tenured (uw) faculty fired during the last two decades.
6	3	q	jim dunnam has not lived in the district he represents for years now.
7	2	q	i'm the only person on this stage who has worked actively just last year passing, along with russ feingold, some of the toughest ethics reform since watergate.
8	2	q	however, it took $19.5 million in oregon lottery funds for the port of newport to eventually land the new noaa marine operations center-pacific.
9	1	q	says gop primary opponents glenn grothman and joe leibham cast a compromise vote that cost $788 million in higher electricity costs.
10	1	q	for the first time in history, the share of the national popular vote margin is smaller than the latino vote margin.
11	2	q	since 2000, nearly 12 million americans have slipped out of the middle class and into poverty.
12	4	q	when mitt romney was governor of massachusetts, we didnt just slow the rate of growth of our government, we actually cut it.
13	1	q	the economy bled $24 billion due to the government shutdown.
14	3	q	most of the (affordable care act) has already in some sense been waived or otherwise suspended.
15	2	q	in this last election in november, ... 63 percent of the american people chose not to vote, ... 80 percent of young people, (and) 75 percent of low-income workers chose not to vote.
16	0	q	mccain opposed a requirement that the government buy american-made motorcycles. and he said all buy-american provisions were quote 'disgraceful.' 
17	3	q	u.s. rep. ron kind, d-wis., and his fellow democrats went on a spending spree and now their credit card is maxed out
18	2	q	water rates in manila, philippines, were raised up to 845 percent when a subsidiary of the world bank became a partial owner.
19	1	q	almost 100,000 people left puerto rico last year.
20	4	q	women and men both are making less when you adjust for inflation than when john kitzhaber was first elected governor.
21	1	q	the united states has the highest corporate tax rate in the free world.
22	1	q	we just had the best year for the auto industry in america in history.
23	2	q	says scott walker favors cutting up to 350,000 families and children off health care.
24	3	q	says mitt romney wants to get rid of planned parenthood.
25	4	q	i dont know who (jonathan gruber) is.
26	1	q	hate crimes against american muslims and mosques have tripled after paris and san bernardino.
27	2	q	rick perry has never lost an election and remains the only person to have won the texas governorship three times in landslide elections.
28	4	q	isis supporter tweeted at 10:34 a.m. shooting began at 10:45 a.m. in chattanooga, tenn.
29	1	q	youth unemployment in minority communities is about 40 to 45 percent.
30	0	q	says paul ryan is still endorsing trump.
31	3	q	if you look at states that are right to work, they constantly do not have budget deficits and they have very good business climates.
32	4	q	what (the obama administration is) going to come out with in the next several months is youre not even going to be able to burn coal very limitedly in the existing plants.
33	1	q	we cut business taxes so today 70 percent of our businesses dont pay a business tax.
34	1	q	says mark pryor votes with obama 93 percent of the time.
35	0	q	we have a federal government that thinks they have the authority to regulate our toilet seats.
36	0	q	austin is a city that has basically doubled in size every 25 years or so since it was founded.
37	0	q	the nuclear test conducted in our nation this time is the earth's 2,054th nuclear test. the five permanent members of the u.n. security council have conducted 99.99 percent of the total nuclear tests.
38	5	q	in the case of a catastrophic event, the atlanta-area offices of the centers for disease control and prevention will self-destruct.
39	0	q	under president george w. bush, we added $4.9 trillion to the debt. under president obama weve added $6.5 trillion to the debt.
40	4	q	says a u.s. supreme court justice suggested that some u.s. cases will be decided based on south african law.
41	2	q	says marco rubio skipped 18 defense votes including one to arm the kurds to fight isis.
42	5	q	rep. david cicilline is responsible for the federal loan guarantee to solyndra, the failed solar company
43	5	q	says ohio budget item later signed into law by gov. john kasich requires women seeking an abortion to undergo a mandatory vaginal probe.
44	4	q	we have a director of homeland security who cannot use and will not use the term 'terrorist attack' but instead substitutes 'man-made disaster.' 
45	2	q	african-american youth unemployment is 51 percent. hispanic youth unemployment is 36 percent.
46	5	q	obamacare will provide insurance to all non-u.s. residents, even if they are here illegally.
47	4	q	president barack obama took exactly none of his own deficit reduction commissions ideas. not one.
48	5	q	it was under barack obama and hillary clinton that changed the rules of engagement that probably cost (capt. humayun khans) life.
49	0	q	hillary clinton in 2005 co-sponsored legislation that would jail flag burners.
50	3	q	says the paperback edition of mitt romneys book deleted line that massachusetts individual mandate should be the model for the country
51	3	q	maggie hassan raised tuition, making it the highest in america.
52	4	q	says terry mcauliffe is the person who invented the scheme to rent out the lincoln bedroom.
53	0	q	we created 800,000 new jobs, we cut the unemployment rate almost in half and today new york state has more private sector jobs than it has ever had in its history
54	3	q	we have towns in west texas that are out of water, that are having to truck in water.
55	2	q	in georgia, women earn 82 cents for every dollar earned by men.
56	2	q	a federal system that verifies employees are authorized to work in the u.s. is inaccurate anywhere from 50 percent all the way up to in excess of 80 percent of the time.
57	3	q	they were going to build the wall a while ago, not so long ago, like in 06. and they couldnt get environmental impact statements.
58	4	q	sen. obama's campaign announced that he's choosing his cabinet.
59	1	q	in 2008, only 54 percent of latinos in texas were registered to vote and only 35 percent actually turned out.
60	4	q	only 2 percent of public high schools in the country offer pe classes.
61	1	q	"said he's the only republican candidate ""who's actually turned around a government economy."""
62	0	q	"on military recruiters at harvard, elena kagan ""took a position and the supreme court ruled unanimously that she was wrong."""
63	1	q	there are 321,092 public school teachers in texas. and there are 313,850 non-teachers in our public schools.
64	4	q	under mayor cicilline, [providence] was a sanctuary city.
65	5	q	transgender individuals in the u.s. have a 1-in-12 chance of being murdered.
66	0	q	at bain capital, we helped start an early childhood learning company called bright horizons that first lady michelle obama rightly praised.
67	4	q	says the man who rushed the stage at him in dayton, ohio, had chatter about isis, or with isis in his social media posts.
68	3	q	u.s. rep. phil gingrey gave the government the power to electronically spy on americans without a warrant.
69	3	q	alex sink funneled three quarters of a million dollars in no-bid contracts to bank of america.
70	0	q	if you take the population growth here in virginia, we are net zero on job creation since (bob mcdonnell) became governor.
71	3	q	under obama, home values in florida collapsed, construction jobs were lost and the state had a high foreclosure rate.
72	1	q	"the new arizona immigration law ""says that any police officer can stop anyone who appears to them to be reasonably suspicious of being an undocumented person."""
73	1	q	the only time in our history when the debt has been higher than this was the end of world war ii.
74	1	q	the cost of health care is now the single-biggest factor driving down the federal budget deficit.
75	0	q	during the recession, the consumer in his native perversity has begun to save. the savings rate is now 6.2 percent.
76	4	q	on whether a u.s. supreme court nominee should be forthcoming at confirmation hearings.
77	3	q	says one out of three u.s. homeless men is a veteran.
78	4	q	says charlie crist supports cuts to the medicare advantage program.
79	2	q	i think it is unacceptable for the chinese today to be larger in wind power and in solar panels and photovoltaic manufacturing than all of europe put together -- forget the united states.
80	0	q	says scott brown co-sponsored legislation to let employers deny women coverage for birth control.
81	2	q	at some point in their lives, 99% of women use birth control.
82	4	q	in the past 20 years, egypt has made great strides in political and democratic reform.
83	4	q	the amount of attention paid this week to chris christie makes the coverage of benghazi ... pale in significance.
84	0	q	says u.s. rep. steve southerland voted to keep the shutdown going.
85	2	q	in rick perrys texas, we import nurses ... from other countries.
86	1	q	there is a federal criminal law that says its a crime to transport dentures across state lines.
87	1	q	we built a new prison every 10 days between 1990 and 2005 to keep up with our mass incarceration explosion of nonviolent offenders.
88	3	q	"sen. mccain's tax plan provides ""virtually nothing to the middle class."""
